,Week,Rank,Fantasy
714,5,26,5.7
715,6,15,4
716,7,4,7.5
717,8,32,2.5
718,9,17,10.7
719,10,16,15.8
720,11,11,1.8
721,12,6,6.4
722,13,32,21.7
723,14,28,23.1
724,15,7,30.7
725,16,15,7.8
726,1,7,4.1
727,2,10,8.1
728,3,30,22.4
729,4,20,14.1
730,6,21,8.9
731,7,2,11.7
732,9,10,9.7
733,10,11,4
734,11,29,7.7
735,12,18,6.6
736,14,27,3.6
737,15,30,10.5
738,16,13,5.4
739,1,5,1.9
740,2,7,2.7
741,3,8,5.5
742,5,13,16.3
743,8,12,0.9
744,9,9,8.1
745,10,2,11.3
746,11,27,1
747,13,3,6
748,14,18,8.8
749,15,8,12.3
750,16,5,7.4
751,1,5,8.7
752,2,7,8.2
753,3,8,9.1
754,6,29,9.3
755,7,3,4.9
756,8,12,15.4
757,9,9,7.2
758,10,2,3.3
759,11,27,18.8
760,12,20,5.8
761,13,3,1.5
762,14,18,4.3
763,15,8,0.8
764,16,5,2.6
765,1,22,21.7
766,2,17,10.4
767,3,12,2.8
768,4,23,8.7
769,5,26,8.4
770,6,15,10.6
771,7,4,21.5
772,8,32,6.8
773,9,17,7.2
774,10,16,7.9
775,11,11,6.9
776,12,6,5
777,1,11,8
778,2,22,21.8
779,3,26,14.9
780,4,21,5.9
781,5,30,20.6
782,6,9,15.2
783,7,29,8.8
784,8,11,8.9
785,9,31,29.1
786,10,25,11.9
787,11,26,5
788,12,17,9.7
789,13,15,5.7
790,14,22,5.5
791,15,19,5.2
792,16,32,8.7
793,2,28,7.4
794,3,9,3.1
795,4,31,2.9
796,5,22,3.7
797,6,12,1.5
798,7,19,5.2
799,8,26,1.5
800,9,8,9.4
801,10,23,17.5
802,11,19,13.7
803,12,9,7.2
804,13,16,12.5
805,14,6,5.1
806,15,11,5.6
807,16,31,3.5
808,1,32,4.9
809,2,11,9.1
810,3,23,12.8
811,4,9,8
812,5,21,2.9
813,6,2,2.9
814,7,22,8.8
815,8,25,8.5
816,9,22,4.1
817,10,15,6.5
818,11,23,2.7
819,12,11,13.5
820,13,31,5
821,14,19,17.2
822,15,10,1.7
823,16,17,2
824,1,8,4.6
825,2,30,8.9
826,3,29,4.6
827,4,1,9.5
828,5,7,3.5
829,6,4,2.7
830,9,15,10.4
831,10,10,3.1
832,11,3,14.1
833,13,29,6.8
834,1,21,32.3
835,2,11,26.4
836,3,20,20.1
837,4,8,10
838,5,32,25.1
839,6,3,7
840,7,20,18.8
841,8,8,6.7
842,9,6,24.4
843,10,24,8.8
844,11,12,9.9
845,12,16,27.4
846,13,1,10.7
847,14,22,25.4
848,15,3,7.7
849,16,25,17.5
850,1,4,10.7
851,2,20,7.1
852,3,6,9.8
853,4,1,18.3
854,5,24,5.7
855,6,9,17.9
856,7,30,12.1
857,8,28,11.4
858,10,1,6.3
859,11,24,32.7
860,12,6,5.9
861,13,3,10.4
862,14,8,17
863,15,17,10.4
864,16,2,27.9
865,2,10,4.5
866,3,32,25.4
867,4,25,21.4
868,5,3,16.7
869,6,12,6.5
870,7,15,32.8
871,8,32,28
872,9,25,15.9
873,10,20,15.6
874,11,8,3.9
875,12,28,20.4
876,13,26,18.4
877,14,4,7.6
878,15,12,33.4
879,16,14,15.5
880,1,19,8.6
881,2,12,15.7
882,3,8,14.2
883,4,20,9.4
884,5,22,23.1
885,6,4,11.5
886,8,25,19.1
887,9,8,15.6
888,10,29,21.8
889,11,6,20.3
890,12,24,20
891,13,21,14.8
892,14,20,24.2
893,15,4,10.1
894,16,32,17.4
895,1,10,22.3
896,2,17,11.8
897,3,28,13.1
898,4,24,11.3
899,5,6,6.9
900,6,13,18.2
901,7,23,8.7
902,8,18,20.4
903,9,21,11.3
904,10,2,3.3
905,11,1,1.7
906,12,17,28.2
907,13,2,22.2
908,14,32,11
909,15,28,3.2
910,1,16,17.7
911,2,4,22.3
912,3,9,8.52
913,4,30,22
914,5,7,19.4
915,6,14,14
916,7,15,10
917,8,31,13.8
918,10,31,23.3
919,11,29,22.3
920,12,9,25
921,13,10,19
922,14,24,22.6
923,15,19,29.6
924,1,3,13.1
925,2,30,24.7
926,3,23,13.9
927,4,7,16.8
928,5,31,21.5
929,6,7,14.1
930,7,29,12.4
931,8,26,17.9
932,9,16,10
933,10,13,27.5
934,11,18,12.1
935,12,30,25.6
936,13,16,15.8
937,14,6,15.2
938,15,11,14.7
939,1,2,26
940,3,24,21.4
941,4,23,25.6
942,5,28,25.8
943,6,18,23.2
944,7,26,23.1
945,8,13,25.1
946,9,12,22
947,10,14,13.1
948,11,2,11.9
949,13,6,8.4
950,14,1,17.4
951,15,21,18.3
952,16,28,23.6
953,1,7,4.3
954,2,31,4.4
955,3,3,14.2
956,4,4,5.9
957,5,20,23.1
958,6,6,20.3
959,7,12,4.9
960,8,4,12.7
961,9,3,38.2
962,10,25,7.5
963,11,22,23.7
964,12,20,2.6
965,13,24,21.6
966,14,21,20.6
967,1,29,0.2
968,2,7,2.7
969,3,11,3.2
970,4,10,27.1
971,5,15,24
972,6,31,11
973,7,21,11.2
974,8,14,12.6
975,9,16,25.1
976,11,31,13.3
977,12,11,4.2
978,13,20,4.1
979,14,29,30.1
980,15,30,7.6
981,1,22,5.7
982,2,32,-1.9
983,5,10,8.2
984,6,26,21.3
985,7,31,17.9
986,8,11,14.1
987,9,29,18.7
988,10,9,12.9
989,11,14,11
990,12,15,0.3
991,13,28,24
992,14,10,9.8
993,15,14,12.8
994,16,15,21.4
995,1,25,14.7
996,2,3,9.1
997,3,14,5.6
998,5,32,12.3
999,6,22,19.6
1000,7,8,6.9
1001,8,20,10.5
1002,9,17,18.7
1003,10,15,3
1004,11,4,2.1
1005,13,32,11
1006,14,25,9.5
1007,15,22,6.5
1008,16,10,8.2
1009,1,32,18.3
1010,2,25,16.4
1011,3,12,11.7
1012,4,15,13.6
1013,5,18,13.5
1014,6,11,1.3
1015,7,29,12.1
1016,8,9,10
1017,9,10,8.1
1018,10,17,8
1019,12,10,5.2
1020,13,31,11.2
1021,14,15,19.4
1022,16,22,15.2
1023,1,8,6.1
1024,2,9,5.4
1025,3,30,15.2
1026,4,19,7.9
1027,5,11,10.8
1028,6,29,19.7
1029,7,19,17.4
1030,8,16,1.9
1031,9,18,16.5
1032,10,30,10.3
1033,11,26,16
1034,12,1,11
1035,13,13,10.2
1036,14,23,22.5
1037,1,15,29.6
1038,2,13,11.5
1039,3,19,10.1
1040,4,17,8.6
1041,5,30,1.8
1042,6,18,13.2
1043,7,28,28.7
1044,9,26,15.2
1045,10,16,1.5
1046,12,2,5.4
1047,13,18,9.6
1048,14,7,8.5
1049,15,26,15
1050,16,13,3.6
1051,1,31,18.1
1052,2,6,1.2
1053,3,20,12.9
1054,4,21,9.4
1055,5,24,6.8
1056,6,28,12.5
1057,7,3,14.9
1058,8,2,23
1059,9,24,13.2
1060,10,21,18
1061,12,7,16.1
1062,13,4,20.3
1063,14,17,13
1064,1,14,7.1
1065,3,22,3.6
1066,4,25,9
