,Week,Opponent,Rank,Fantasy
520,7,CIN,28,19.8
521,8,PIT,16,12.7
522,10,DET,26,19.7
523,11,BAL,6,7.2
524,12,CLE,12,19.7
525,13,MIN,23,10.4
526,14,STL,17,19.4
527,15,ARI,32,24.2
528,16,SFO,21,19.3
529,2,MIA,3,3
530,3,NWE,1,8.7
531,4,DAL,2,9.5
532,5,BUF,5,7.7
533,6,HOU,27,8.9
534,7,PHI,7,11.7
535,8,NYG,29,8.9
536,9,OAK,25,6.1
537,10,IND,20,13.2
538,11,JAX,18,10.8
539,12,TEN,13,13
540,13,BUF,5,10.4
541,14,PIT,16,22.8
542,15,NWE,1,11
543,16,MIA,3,15.2
544,1,SDG,31,30.3
545,2,PIT,16,30.8
546,3,HOU,27,27.6
547,4,BAL,6,10.3
548,5,DEN,9,9.1
549,6,GNB,11,20
550,7,OAK,25,23.3
551,8,BUF,5,28.9
552,9,CLE,12,27.8
553,10,CIN,28,9.8
554,11,OAK,25,25.1
555,12,SDG,31,30.6
556,13,DEN,9,19.7
557,14,DET,26,31.6
558,15,MIN,23,28.5
559,16,CHI,22,17.6
560,1,JAX,18,12.2
561,2,TAM,4,14.2
562,3,ATL,30,25.1
563,5,IND,20,11.6
564,6,TEN,13,2.9
565,8,HOU,27,15.3
566,11,DAL,2,12.6
567,12,PHI,7,11.5
568,13,ATL,30,14.1
569,14,ARI,32,8.2
570,16,NYG,29,5.7
571,1,KAN,19,6.1
572,2,DEN,9,12
573,3,BAL,6,21.6
574,4,OAK,25,31.94
575,5,JAX,18,6.8
576,6,CLE,12,28.1
577,7,MIA,3,20.2
578,8,CHI,22,14.2
579,9,MIN,23,32.7
580,10,DEN,9,4.5
581,11,CIN,28,20.4
582,12,KAN,19,18.3
583,13,DET,26,35.6
584,14,GNB,11,31.5
585,15,PIT,16,21.9
586,16,OAK,25,38
587,1,OAK,25,6.5
588,2,IND,20,4.6
589,4,PIT,16,1.8
590,5,NWE,1,4.8
591,6,HOU,27,8.2
592,7,CAR,10,5.1
593,8,JAX,18,22.1
594,9,MIA,3,10.6
595,10,JAX,18,7.3
596,11,ATL,30,18.2
597,12,NYJ,8,7.9
598,13,IND,20,5.6
599,14,BUF,5,8.6
600,15,HOU,27,8.5
601,16,TAM,4,13.2
602,1,CLE,12,9.6
603,2,TEN,13,18.9
604,3,JAX,18,10.4
605,7,HOU,27,10.9
606,8,MIA,3,16.8
607,9,JAX,18,7
608,10,NYJ,8,34
609,11,BUF,5,24.7
610,12,NWE,1,13.8
611,13,TEN,13,23
612,14,ATL,30,11.2
613,15,DEN,9,10.2
614,16,HOU,27,24.6
615,1,CIN,28,27.9
616,2,SDG,31,12.9
617,3,OAK,25,4.2
618,5,KAN,19,28
619,6,PIT,16,5.3
620,7,MIN,23,22
621,8,BAL,6,11.5
622,9,NWE,1,19.1
623,10,SDG,31,11.2
624,11,CHI,22,18.8
625,12,OAK,25,31.7
626,13,KAN,19,55.4
627,14,CLE,12,26.5
628,1,STL,17,14.5
629,2,DAL,2,4.8
630,4,MIA,3,15.9
631,5,NWE,1,10
632,6,PHI,7,11.3
633,7,MIN,23,18.2
634,8,NYJ,8,10.9
