,Week,Opponent,Rank,Fantasy
2902,8,NWE,8,32
2903,9,NYJ,6,14.9
2904,10,JAX,27,20.3
2905,11,CAR,26,37.4
2906,12,MIA,14,7.9
2907,13,BUF,28,9.8
2908,14,CIN,24,8.2
2909,15,BAL,3,4
2910,16,PIT,1,1.6
2911,1,SDG,10,3.9
2912,2,CLE,13,8.8
2913,3,SFO,16,15.6
2914,4,IND,23,1.9
2915,5,HOU,29,17
2916,6,JAX,27,18.5
2917,7,BUF,28,8.2
2918,8,OAK,20,3.2
2919,9,DEN,32,2.2
2920,10,ARI,30,19.1
2921,11,SEA,25,8.2
2922,12,DEN,32,10.7
2923,13,SDG,10,0.1
2924,14,STL,12,13.8
2925,15,TEN,15,3.1
2926,16,OAK,20,1.5
2927,1,DET,19,30.1
2928,2,DAL,31,12.6
2929,3,GNB,2,4.3
2930,4,NYG,17,3.3
2931,5,CAR,26,30.8
2932,6,SEA,25,11.1
2933,8,BUF,28,8.1
2934,9,MIN,18,7.8
2935,10,MIA,14,16.4
2936,11,PHI,21,13.9
2937,12,DET,19,16
2938,13,NWE,8,6.1
2939,14,MIN,18,9.8
2940,15,NYJ,6,22.9
2941,16,GNB,2,15.1
2942,1,SDG,10,16
2943,2,CLE,13,7.6
2944,3,SFO,16,15.4
2945,4,IND,23,8.1
2946,5,HOU,29,11.7
2947,6,JAX,27,13.1
2948,7,BUF,28,23.8
2949,8,OAK,20,10
2950,9,DEN,32,18.1
2951,10,ARI,30,12.6
2952,11,SEA,25,21.6
2953,12,DEN,32,13.6
2954,13,SDG,10,4.9
2955,14,STL,12,21.3
2956,15,TEN,15,23.7
2957,16,OAK,20,16
2958,1,TEN,15,21
2959,2,STL,12,15.3
2960,3,ARI,30,18.2
2961,4,HOU,29,12.9
2962,7,DEN,32,43.6
2963,8,SEA,25,13.5
2964,9,KAN,11,9.4
2965,10,PIT,1,3
2966,11,MIA,14,6.5
2967,12,SDG,10,16.7
2968,13,JAX,27,38.9
2969,14,DEN,32,13.8
2970,15,IND,23,7.6
2971,1,BAL,3,7.8
2972,2,NWE,8,10.2
2973,3,MIA,14,14.8
2974,4,BUF,28,27.5
2975,5,MIN,18,10.7
2976,6,DEN,32,18.7
2977,7,GNB,2,9.1
2978,8,DET,19,10.2
2979,9,CLE,13,11
2980,10,HOU,29,10.7
2981,11,CIN,24,6.3
2982,12,NWE,8,6.1
2983,13,MIA,14,5.4
2984,14,PIT,1,5.5
2985,15,CHI,4,10.2
2986,1,SEA,25,8.3
2987,3,KAN,11,14.5
2988,4,ATL,5,13.7
2989,5,PHI,21,9.3
2990,6,OAK,20,14.9
2991,7,CAR,26,15.9
2992,8,DEN,32,18.5
2993,9,STL,12,21.4
2994,10,TAM,9,6
2995,11,ARI,30,5.2
2996,3,PIT,1,8.7
2997,4,CIN,24,0.3
2998,6,STL,12,7.2
2999,7,ARI,30,22.9
3000,8,ATL,5,4.6
3001,9,CAR,26,15.1
3002,10,SFO,16,8.2
3003,11,BAL,3,5.5
3004,12,ATL,5,16.3
3005,14,DET,19,17
3006,15,SEA,25,16.7
3007,1,PHI,21,7.5
3008,2,BUF,28,9.9
3009,3,CHI,4,3.9
3010,4,DET,19,3.4
3011,6,MIA,14,8.2
3012,7,MIN,18,16.4
3013,8,NYJ,6,7.2
3014,9,DAL,31,18.8
3015,10,MIN,18,6.6
3016,11,ATL,5,3.6
3017,12,SFO,16,7.6
3018,13,DET,19,2.8
3019,14,NWE,8,10.2
3020,15,NYG,17,4.9
3021,16,CHI,4,3.5
3022,2,CHI,4,1.9
3023,3,HOU,29,4.3
3024,4,TEN,15,12.6
3025,5,MIN,18,9.3
3026,6,NYG,17,6.2
3027,7,JAX,27,3.6
3028,8,GNB,2,1.6
3029,9,NYG,17,19.6
3030,10,DET,19,6.6
3031,12,IND,23,9.1
3032,13,PHI,21,14.3
3033,15,ARI,30,8.8
3034,16,PHI,21,7.7
3035,1,JAX,27,12.4
3036,2,SEA,25,17.8
3037,6,NYJ,6,2.8
3038,7,OAK,20,21
3039,8,SFO,16,5.9
3040,9,KAN,11,21.6
3041,10,SDG,10,18
3042,11,STL,12,15.8
3043,12,KAN,11,17.5
3044,13,ARI,30,17.3
3045,14,OAK,20,0.6
3046,15,HOU,29,4.1
3047,16,SDG,10,4.3
3048,1,NYG,17,1.2
3049,2,TAM,9,4.3
3050,3,CIN,24,7.1
3051,5,CHI,4,3.4
3052,6,SFO,16,2.9
3053,7,STL,12,3.8
3054,11,CLE,13,9.8
3055,12,SEA,25,15.9
3056,13,ATL,5,11.3
3057,14,ARI,30,11.9
3058,15,PIT,1,8
3059,16,ATL,5,3.1
3060,1,CHI,4,15.6
3061,2,PHI,21,41.2
3062,3,MIN,18,3.9
3063,4,GNB,2,6.4
3064,5,STL,12,9.6
3065,6,NYG,17,4.7
3066,8,NYJ,6,8.8
3067,9,BUF,28,3.9
3068,10,DAL,31,1.7
3069,11,NWE,8,9.7
3070,12,CHI,4,4.2
3071,13,GNB,2,1.2
3072,14,TAM,9,13.7
3073,15,MIA,14,5.7
3074,3,STL,12,4.6
3075,4,PHI,21,13
3076,5,GNB,2,6.7
3077,6,IND,23,22.9
3078,7,CHI,4,10.5
3079,8,DET,19,8.9
3080,13,TAM,9,18.2
3081,14,DAL,31,16.1
3082,15,JAX,27,12.9
3083,16,NYG,17,6.9
3084,1,CHI,14,12
3085,2,PHI,10,20.6
3086,3,TAM,32,2
3087,4,SEA,7,20.8
3088,5,GNB,19,11.6
3089,6,CAR,27,26.7
3090,7,DET,23,12.2
3091,8,IND,28,13.8
3092,10,TEN,8,14.9
3093,11,MIN,31,6.4
3094,12,HOU,4,4.4
3095,13,CAR,27,7.6
3096,14,JAX,11,12.5
3097,16,TAM,32,29.2
3098,1,PIT,1,26.9
3099,2,TEN,8,15.6
3100,3,STL,26,16.4
3101,4,NYJ,20,19
3102,5,HOU,4,16.1
3103,6,JAX,11,4.3
3104,7,ARI,17,27.9
3105,8,PIT,1,14.6
3106,9,SEA,7,12.14
3107,10,CIN,9,26.7
3108,11,SFO,2,8.3
3109,12,CLE,5,27.4
3110,13,IND,28,18.9
3111,14,SDG,22,11.2
3112,15,CLE,5,19.5
3113,16,CIN,9,31.9
3114,1,SFO,2,4.7
3115,2,PIT,1,1.2
3116,3,ARI,17,7.5
3117,4,ATL,18,11.7
3118,5,NYG,25,17.1
3119,7,CIN,9,6.4
3120,8,DAL,16,20.3
3121,9,BAL,3,22.7
3122,10,STL,26,14.9
3123,12,PHI,10,26.8
3124,13,STL,26,18.3
3125,14,CHI,14,16.7
3126,15,SFO,2,19.1
3127,16,ARI,17,9.1
3128,1,SEA,7,7.8
3129,2,DAL,16,12.4
3130,3,CIN,9,2.2
3131,4,PHI,10,19.9
3132,5,TAM,32,18.3
3133,6,DET,23,20.6
3134,7,CLE,5,19.4
3135,9,NYG,25,0.8
3136,10,ARI,17,9.4
3137,11,BAL,3,4.8
3138,12,STL,26,7.3
3139,13,ARI,17,13.2
3140,14,PIT,1,12.5
3141,15,SEA,7,15.6
3142,16,STL,26,0.9
3143,2,MIA,6,4
3144,4,PIT,1,22.6
3145,5,OAK,29,18.4
3146,6,BAL,3,10.1
3147,7,TEN,8,41.4
3148,8,JAX,11,18.4
3149,9,CLE,5,21
3150,10,TAM,32,30.6
3151,11,JAX,11,12.9
3152,12,ATL,18,21.2
3153,13,CIN,9,5.4
3154,14,CAR,27,20.7
3155,15,IND,28,23.4
3156,1,CLE,5,18.3
3157,2,DEN,24,7.6
3158,3,SFO,2,6.4
3159,4,BUF,30,10.4
3160,5,JAX,11,5.3
3161,6,IND,28,12.2
3162,8,TEN,8,7.8
3163,9,PIT,1,6.2
3164,10,BAL,3,16.1
3165,11,CLE,5,19
3166,12,PIT,1,5.2
3167,13,HOU,4,9.1
3168,14,STL,26,14.7
3169,15,ARI,17,2.5
3170,16,BAL,3,6.1
3171,1,PHI,10,11.6
3172,3,BAL,3,2.3
3173,5,GNB,19,12.5
3174,6,DAL,16,13.3
3175,8,ARI,17,14.2
3176,9,CLE,5,13.1
3177,10,SEA,7,6.1
3178,11,ARI,17,7.8
3179,12,SFO,2,3
3180,13,SEA,7,18.3
3181,14,CIN,9,14.3
3182,15,PIT,1,12.7
3183,16,SFO,2,9.1
3184,1,DEN,24,3
3185,2,BUF,30,8.3
3186,3,NYJ,20,11.7
3187,4,NWE,15,14.1
3188,5,HOU,4,0.9
3189,6,CLE,5,3.7
3190,7,KAN,12,11.1
3191,8,DEN,24,18.9
3192,9,SDG,22,30.2
3193,10,MIN,31,16.9
3194,11,CHI,14,15.3
3195,12,MIA,6,4.5
3196,13,GNB,19,15.7
3197,14,DET,23,13.9
3198,15,KAN,12,9.4
3199,16,SDG,22,7.9
3200,1,DAL,16,3.3
3201,2,JAX,11,11.5
3202,3,OAK,29,10.6
3203,4,BAL,3,2.3
3204,5,NWE,15,15.2
3205,6,MIA,6,7.7
3206,7,SDG,22,11.7
3207,8,BUF,30,7.6
3208,9,NWE,15,7.5
3209,10,DEN,24,1.4
3210,11,BUF,30,9
3211,13,KAN,12,24.7
3212,14,PHI,10,7.3
3213,15,NYG,25,7.8
3214,16,MIA,6,5.5
3215,1,OAK,29,3.5
3216,2,CIN,9,16.6
3217,3,TEN,8,11.4
3218,4,GNB,19,11.3
3219,5,SDG,22,14.5
3220,6,MIA,6,5.6
3221,8,OAK,29,28.3
3222,9,KAN,12,1.7
3223,10,NYJ,20,-0.2
3224,11,SDG,22,11.7
3225,12,MIN,31,15.1
3226,13,CHI,14,3.6
3227,14,NWE,15,7
3228,15,BUF,30,6.4
3229,16,KAN,12,14.5
3230,1,BAL,3,2.5
3231,2,SEA,7,13.8
3232,3,IND,28,4.6
3233,4,HOU,4,8.5
3234,6,JAX,11,20.6
3235,7,ARI,17,3.7
3236,8,NWE,15,9.2
3237,9,BAL,3,11.5
3238,10,CIN,9,19
3239,11,KAN,12,6.7
3240,12,CIN,9,18
3241,13,CLE,5,7.6
3242,14,SFO,2,8.9
3243,15,STL,26,21.1
3244,16,CLE,5,4.5
3245,1,MIN,31,11.8
3246,2,NWE,15,18.6
3247,3,KAN,12,26.9
3248,4,MIA,6,14.9
3249,5,DEN,24,13.2
3250,6,NYJ,20,6.5
3251,7,KAN,12,9.2
3252,9,OAK,29,5.7
3253,10,CHI,14,3.1
3254,11,DEN,24,14.2
3255,12,JAX,11,17.4
3256,13,BUF,30,14.8
3257,14,BAL,3,22.9
3258,15,DET,23,7.4
3259,1,NWE,15,15.4
3260,2,HOU,4,2.1
3261,3,CLE,5,0.5
3262,4,SDG,22,6.5
3263,5,NYJ,20,7.8
3264,6,DEN,24,4.6
3265,7,NYG,25,12
3266,8,KAN,12,20.2
3267,10,BUF,30,12.6
3268,11,DAL,16,9.6
3269,12,OAK,29,16
3270,13,PHI,10,13
3271,14,BUF,30,24.9
3272,15,NWE,15,13.9
3273,1,ATL,18,21.8
3274,3,GNB,19,8.2
3275,4,CAR,27,28.8
3276,5,DET,23,15.1
3277,6,MIN,31,12.3
3278,7,TAM,32,24.3
3279,8,PHI,10,11
3280,9,DET,23,12.7
3281,10,SDG,22,8.3
3282,11,OAK,29,8.4
3283,12,KAN,12,1.2
3284,1,DET,23,1.5
3285,2,MIN,31,19.1
3286,3,ATL,18,9.4
3287,4,IND,28,20.1
3288,5,SFO,2,6.5
3289,9,HOU,4,3.4
3290,10,GNB,19,17.3
3291,11,TEN,8,11.9
3292,12,CAR,27,1.9
3293,13,JAX,11,12
3294,14,DAL,16,2.1
3295,15,CAR,27,1.1
3296,16,ATL,18,2.6
3297,1,IND,28,15.6
3298,2,MIA,6,13.5
3299,4,PIT,1,2
3300,6,BAL,3,4.1
3301,7,TEN,8,10.4
3302,8,JAX,11,2.2
3303,9,CLE,5,17.5
3304,10,TAM,32,12.3
3305,11,JAX,11,2.6
3306,12,ATL,18,4.1
3307,13,CIN,9,7.7
3308,14,CAR,27,3
3309,15,IND,28,18.1
3310,2,STL,26,10.4
3311,3,PHI,10,19.9
3312,4,ARI,17,9
3313,5,SEA,7,10.5
3314,6,BUF,30,31
3315,7,MIA,6,8.8
3316,12,GNB,19,4.7
3317,13,DAL,16,1.9
3318,15,NYJ,20,18.2
3319,16,DAL,16,18.9
3320,1,NYJ,20,1.3
3321,2,SFO,2,2.5
3322,4,DET,23,1.1
3323,5,NWE,15,4.1
3324,6,STL,26,31.3
3325,7,PHI,10,7.2
3326,8,SEA,7,18.6
3327,9,BUF,30,23.1
3328,11,MIA,6,12.8
3329,12,ARI,17,3.8
3330,13,NYG,25,3.1
3331,1,CIN,9,8.7
3332,2,IND,28,21.7
3333,4,TEN,8,6.9
3334,5,OAK,29,1.4
3335,11,CIN,9,6.1
3336,12,BAL,3,9.7
3337,13,PIT,1,2.5
3338,14,ARI,17,16.8
3339,15,BAL,3,11.2
3340,16,PIT,1,2.7
3341,1,BUF,30,0.3
3342,2,DET,23,4
3343,3,SDG,22,3.3
3344,4,MIN,31,3.7
3345,5,IND,28,6.2
3346,6,OAK,29,1.9
3347,7,SDG,22,1
3348,8,MIA,6,0.5
3349,9,DEN,24,0.4
3350,10,NWE,15,4.8
3351,11,PIT,1,4.4
3352,12,CHI,14,3.6
3353,13,NYJ,20,1.2
3354,14,GNB,19,7.5
3355,15,OAK,29,5.1
3356,16,DEN,24,4.2
3357,2,STL,26,12.7
3358,3,PHI,10,14.1
3359,4,ARI,17,7.8
3360,7,MIA,6,1
3361,8,NWE,15,16
3362,9,SFO,2,7.2
3363,10,PHI,10,3.2
3364,12,GNB,19,11.9
3365,13,DAL,16,22.1
3366,15,NYJ,20,5.5
3367,16,DAL,16,1.6
3368,1,NYG,25,0.2
3369,2,ARI,17,11.2
3370,3,DAL,16,3.2
3371,4,STL,26,3.5
3372,5,PHI,10,1.7
3373,6,CAR,27,0.5
3374,7,BUF,30,2
3375,8,SFO,2,12.6
3376,9,MIA,6,5.4
3377,10,DAL,16,3.8
3378,11,SEA,7,22.2
3379,12,NYJ,20,18.2
3380,13,NWE,15,13.2
3381,14,NYG,25,6.9
3382,16,PHI,10,11.3
3383,1,MIA,7,19.5
3384,2,JAX,30,20.7
3385,3,DEN,4,16.8
3386,4,TEN,32,15.4
3387,5,NYJ,20,22.8
3388,6,GNB,11,16.1
3389,7,BAL,12,22.3
3390,8,BUF,26,17.1
3391,9,CHI,3,17.7
3392,10,JAX,30,8.5
3393,11,DET,27,23.7
3394,12,TEN,32,11.3
3395,13,NWE,10,14.5
3396,14,IND,21,16.9
3397,15,MIN,14,0.9
3398,16,IND,21,17.9
3399,2,STL,15,8.9
3400,3,CIN,8,13.8
3401,4,TAM,23,16.9
3402,5,ATL,5,13.5
3403,6,MIN,14,11.6
3404,7,NYG,13,11
3405,8,PIT,6,5.9
3406,9,CAR,18,7.6
3407,10,PHI,29,8.3
3408,11,DAL,24,17.3
3409,12,NYG,13,10.4
3410,13,BAL,12,16.9
3411,14,CLE,19,21.3
3412,15,PHI,29,16.8
3413,16,DAL,24,39.2
3414,1,CAR,18,11.8
3415,2,NYG,13,12.6
3416,3,DAL,24,7.4
3417,5,KAN,25,13.1
3418,7,MIN,14,33.4
3419,8,OAK,28,51.2
3420,9,SDG,16,11.9
3421,10,CAR,18,14.1
3422,11,ATL,5,18.3
3423,12,DEN,4,9.8
3424,13,PHI,29,19.2
3425,15,STL,15,11.9
3426,16,ATL,5,22
3427,1,ARI,17,9.7
3428,2,DAL,24,18.2
3429,3,GNB,11,9.9
3430,4,STL,15,21.5
3431,5,CAR,18,9.4
3432,6,NWE,10,5.2
3433,7,SFO,2,11.6
3434,8,DET,27,16.6
3435,9,MIN,14,21
3436,10,NYJ,20,19.1
3437,11,MIA,7,4.7
3438,12,CHI,3,13.8
3439,13,ARI,17,30.8
3440,14,BUF,26,18.7
3441,15,SFO,2,25
3442,16,STL,15,11.4
3443,1,TEN,32,21.2
3444,2,ARI,17,9.5
3445,3,BAL,12,3.7
3446,4,BUF,26,22.6
3447,5,DEN,4,19.1
3448,6,SEA,1,3.4
3449,7,NYJ,20,6.5
3450,8,STL,15,18.7
3451,9,BUF,26,15.8
3452,10,IND,21,8.8
3453,11,NYJ,20,15.7
3454,12,MIA,7,13.1
3455,13,HOU,9,13.2
3456,14,SFO,2,0.3
3457,15,JAX,30,8.4
3458,16,MIA,7,19.4
3459,1,ATL,5,8.7
3460,2,BUF,26,2.2
3461,4,SDG,16,19.1
3462,5,BAL,12,16.1
3463,6,TAM,23,4.7
3464,7,OAK,28,1
3465,8,SDG,16,6.6
3466,9,PIT,6,16
3467,10,CIN,8,11.8
3468,11,DEN,4,10.7
3469,12,CAR,18,13.8
3470,13,CLE,19,22.5
3471,14,OAK,28,2.8
3472,15,IND,21,27
3473,16,DEN,4,6.7
3474,1,BUF,26,15.4
3475,2,PIT,6,2.3
3476,3,MIA,7,4.9
3477,4,SFO,2,3.4
3478,5,HOU,9,4.5
3479,6,IND,21,34.1
3480,7,NWE,10,14.8
3481,8,MIA,7,10.6
3482,9,SEA,1,6.3
3483,10,STL,15,6.4
3484,11,NWE,10,6
3485,12,ARI,17,10.4
3486,13,JAX,30,13.7
3487,14,TEN,32,6.9
3488,15,SDG,16,20
3489,16,BUF,26,7.7
3490,1,PHI,29,4.4
3491,2,CIN,8,26.5
3492,3,BUF,26,11.1
3493,4,BAL,12,16.4
3494,5,NYG,13,18.8
3495,6,CIN,8,5.4
3496,7,IND,21,1.9
3497,8,SDG,16,19.4
3498,9,BAL,12,13.6
3499,10,DAL,24,14.4
3500,11,PIT,6,17.2
3501,12,OAK,28,15.5
3502,13,KAN,25,17.1
3503,15,DEN,4,6.8
3504,1,GNB,11,17.3
3505,2,DET,27,16.5
3506,3,MIN,14,5.2
3507,4,NYJ,20,13.7
3508,5,BUF,26,16.6
3509,6,NYG,13,5.6
3510,7,SEA,1,18.2
3511,8,ARI,17,6.6
3512,9,STL,15,17.5
3513,10,CHI,3,7.8
3514,12,STL,15,11.8
3515,13,MIA,7,14.5
3516,14,NWE,10,17.7
3517,15,SEA,1,2.8
3518,16,ARI,17,14.9
3519,1,DET,27,8.4
3520,3,CHI,3,3.4
3521,4,SEA,1,6.7
3522,5,ARI,17,7.6
3523,6,MIA,7,10
3524,7,GNB,11,11.7
3525,8,NWE,10,4.8
3526,9,SFO,2,18.7
3527,10,NYJ,20,8.6
3528,11,ARI,17,13.9
3529,12,SFO,2,11.7
3530,13,BUF,26,13.3
3531,14,MIN,14,14.6
3532,15,TAM,23,13.7
3533,16,SEA,1,9.7
3534,1,CIN,8,21.3
3535,2,PHI,29,15.2
3536,3,NWE,10,21
3537,4,CLE,19,9.6
3538,5,KAN,25,11.8
3539,6,DAL,24,22.6
3540,7,HOU,9,5.4
3541,8,CLE,19,16.4
3542,9,OAK,28,12.8
3543,10,PIT,6,9.3
3544,11,SDG,16,16.4
3545,12,PIT,6,14.3
3546,14,DEN,4,4.1
3547,15,NYG,13,21.8
3548,16,CIN,8,0.5
3549,1,IND,21,18
3550,2,GNB,11,8
3551,4,DAL,24,4.9
3552,5,JAX,30,12.7
3553,6,DET,27,10
3554,7,CAR,18,15.4
3555,8,TEN,32,20.8
3556,9,HOU,9,3.6
3557,10,SFO,2,6.7
3558,11,MIN,14,2.6
3559,12,SEA,1,15.6
3560,13,MIN,14,11.9
3561,14,GNB,11,13.3
3562,15,ARI,17,15.5
3563,16,DET,27,18.4
3564,1,HOU,9,11.5
3565,2,OAK,28,31.7
3566,3,NYJ,20,6.2
3567,4,ARI,17,6.7
3568,5,CIN,8,13.2
3569,6,STL,15,6.1
3570,7,NYJ,20,4.5
3571,8,IND,21,12.6
3572,9,TEN,32,0.9
3573,10,BUF,26,3.5
3574,11,SEA,1,14.2
3575,12,NWE,10,6.4
3576,13,SFO,2,10.3
3577,14,JAX,30,10.4
3578,15,BUF,26,28.7
3579,16,NWE,10,4.9
3580,1,KAN,25,3.2
3581,2,DEN,4,10.2
3582,3,SDG,16,14.1
3583,4,CAR,18,23.1
3584,6,OAK,28,3.9
3585,7,PHI,29,6.4
3586,8,DAL,24,16.2
3587,10,ARI,17,10.6
3588,11,TAM,23,9
3589,13,CAR,18,7.4
3590,14,NYG,13,12.1
3591,15,DET,27,5.7
3592,16,TAM,23,7.8
3593,1,DAL,24,15.3
3594,2,TAM,23,1.6
3595,4,PHI,29,7.7
3596,5,CLE,19,26.9
3597,6,SFO,2,18
3598,8,DAL,24,5.8
3599,9,PIT,6,4.8
3600,10,CIN,8,5.1
3601,11,GNB,11,17.9
3602,15,BAL,12,4.7
3603,16,PHI,29,20.8
3604,1,SDG,16,11.8
3605,2,MIA,7,4.1
3606,3,PIT,6,17.5
3607,4,DEN,4,3.8
3608,5,ATL,5,13.8
3609,6,JAX,30,8.1
3610,7,KAN,25,13.7
3611,8,TAM,23,1.7
3612,13,DEN,4,12.4
3613,14,KAN,25,12.9
3614,15,CAR,18,4.8
3615,16,SDG,16,5.9
3616,3,TEN,32,19.4
3617,4,MIN,14,4.3
3618,5,PHI,29,9.4
3619,6,CHI,3,6.3
3620,7,SEA,1,5.5
3621,8,JAX,30,25
3622,9,MIN,14,4.8
3623,10,GNB,11,14.2
3624,11,HOU,9,11.9
3625,12,IND,21,13.3
3626,13,GNB,11,4.9
3627,14,ARI,17,11.9
3628,15,ATL,5,10.6
3629,16,CHI,3,7.7
3630,1,CHI,3,0.6
3631,2,MIN,14,1.3
3632,3,JAX,30,1.2
3633,4,GNB,11,1.5
3634,5,NYJ,20,4.2
3635,6,CLE,19,10.3
3636,7,TEN,32,13.1
3637,8,MIA,7,9.8
3638,9,JAX,30,5.9
3639,10,NWE,10,7.9
3640,11,BUF,26,4.1
3641,12,DET,27,12.2
3642,13,TEN,32,10.4
3643,14,HOU,9,10.5
3644,15,KAN,25,6.9
3645,16,HOU,9,14.7
3646,3,ATL,5,5.6
3647,4,KAN,25,8.2
3648,6,DEN,4,9.3
3649,7,CLE,19,8.4
3650,8,KAN,25,7.2
3651,9,TAM,23,7.6
3652,10,DEN,4,8.3
3653,11,BAL,12,8.8
3654,12,CIN,8,5.1
3655,13,PIT,6,6.5
3656,14,CAR,18,3
3657,1,PIT,6,6.4
3658,2,ATL,5,24.4
3659,3,HOU,9,4.2
3660,4,OAK,28,19.5
3661,5,NWE,10,8.2
3662,6,SDG,16,9.8
3663,8,CIN,8,7
3664,9,CAR,18,6.9
3665,10,SDG,16,7.3
3666,1,NYG,13,14
3667,2,SEA,1,7.5
3668,3,TAM,23,11.5
3669,4,CHI,3,8.1
3670,5,BAL,12,9.7
3671,12,PHI,29,16.2
3672,13,CIN,8,13.5
3673,14,PIT,6,15.2
3674,1,DEN,4,5.4
3675,2,NYJ,20,4
3676,3,OAK,28,-2
3677,6,CIN,8,12.2
3678,9,KAN,25,6
3679,10,BAL,12,8.1
3680,11,CLE,19,0.8
3681,12,BAL,12,11.7
3682,13,SDG,16,5
3683,14,DAL,24,8.2
3684,15,CIN,8,3.9
3685,16,CLE,19,6.1
3686,1,PIT,6,7.3
3687,2,ATL,5,-0.6
3688,3,HOU,9,11.1
3689,11,KAN,25,8.3
3690,12,TAM,23,22.7
3691,13,OAK,28,18.3
3692,14,BAL,12,12.7
3693,15,CLE,19,11.4
3694,1,CAR,2,5.2
3695,2,SFO,3,31.5
3696,3,JAX,28,6.9
3697,4,HOU,24,18.3
3698,5,IND,9,10.7
3699,6,TEN,16,27.5
3700,7,ARI,7,15.4
3701,8,STL,13,2.7
3702,9,TAM,21,14.1
3703,10,ATL,27,22.1
3704,11,MIN,32,24.3
3705,13,SFO,3,13.2
3706,14,NYG,18,18
3707,15,ARI,7,7.6
3708,16,STL,13,16.1
3709,1,CIN,5,15.1
3710,2,MIN,32,14.1
3711,3,PIT,14,17.1
3712,4,DET,15,17.7
3713,6,NYG,18,11.1
3714,8,GNB,25,23.9
3715,9,DET,15,4.9
3716,10,BAL,12,18.5
3717,11,STL,13,9.7
3718,12,MIN,32,15.1
3719,13,DAL,26,23.5
3720,14,CLE,23,13.1
3721,15,PHI,17,5.4
3722,16,GNB,25,33.7
3723,1,HOU,24,11.5
3724,2,PHI,17,5.6
3725,3,TEN,16,5.8
3726,4,DAL,26,10.3
3727,5,OAK,29,0.8
3728,6,IND,9,10.2
3729,7,JAX,28,17
3730,9,DEN,22,12.1
3731,10,MIA,8,14.3
3732,11,KAN,6,12.5
3733,12,CIN,5,9.2
3734,13,NYG,18,19.5
3735,14,DEN,22,18.8
3736,15,OAK,29,17.9
3737,16,KAN,6,15.5
3738,1,SFO,3,11.2
3739,4,DET,15,9.7
3740,5,BAL,12,12.5
3741,6,CLE,23,16.8
3742,7,MIN,32,17.2
3743,8,CHI,31,21
3744,9,PHI,17,8.4
3745,10,NYG,18,10.8
3746,11,MIN,32,21.8
3747,12,DET,15,3.9
3748,13,ATL,27,15
3749,14,DAL,26,23.1
3750,15,PIT,14,21
3751,16,CHI,31,14.1
3752,1,GNB,25,12.5
3753,2,SEA,1,3
3754,3,IND,9,10.3
3755,4,STL,13,19.3
3756,5,HOU,24,14.1
3757,6,ARI,7,10.1
3758,7,TEN,16,22.4
3759,8,JAX,28,17.7
3760,9,CAR,2,10.3
3761,12,STL,13,8.9
3762,13,SEA,1,11
3763,14,TAM,21,8.6
3764,15,ATL,27,16.3
3765,16,ARI,7,1.4
3766,1,PHI,17,9.4
3767,2,GNB,25,12
3768,3,DET,15,13.3
3769,4,OAK,29,7.1
3770,5,DAL,26,14.1
3771,6,CHI,31,9.5
3772,7,DEN,22,15.3
3773,8,SDG,11,18.1
3774,9,MIN,32,13.9
3775,10,PHI,17,9.3
3776,11,SFO,3,5.2
3777,12,NYG,18,11.3
3778,13,KAN,6,3.1
3779,14,ATL,27,6.6
3780,15,DAL,26,14.8
3781,16,NYG,18,6.3
3782,1,JAX,28,16
3783,2,DAL,26,16.3
3784,3,PHI,17,23.2
3785,4,NYG,18,18.7
3786,5,TEN,16,18.5
3787,6,OAK,29,24.8
3788,7,HOU,24,16.3
3789,8,CLE,23,12
3790,9,BUF,20,9.6
3791,10,DEN,22,7.2
3792,11,SDG,11,27.7
3793,12,DEN,22,18
3794,14,OAK,29,51.5
3795,15,IND,9,20.4
3796,1,ARI,7,0.4
3797,4,SFO,3,7.8
3798,5,JAX,28,9
3799,6,HOU,24,14.7
3800,7,CAR,2,12.9
3801,8,SEA,1,29.8
3802,9,TEN,16,12.8
3803,10,IND,9,15.7
3804,11,CHI,31,7.1
3805,12,SFO,3,8.2
3806,13,ARI,7,20.3
3807,15,TAM,21,3.8
3808,1,BAL,12,6.5
3809,2,NYG,18,22.7
3810,3,OAK,29,4.5
3811,4,PHI,17,15.1
3812,5,DAL,26,21
3813,6,JAX,28,28.4
3814,7,IND,9,10.9
3815,9,SDG,11,11.4
3816,10,KAN,6,7.9
3817,11,NWE,10,29
3818,12,KAN,6,15
3819,13,TEN,16,16.9
3820,14,SDG,11,5.5
3821,15,HOU,24,10.2
3822,16,OAK,29,12.4
3823,1,MIN,32,25.1
3824,2,ARI,7,6.9
3825,4,CHI,31,23.3
3826,5,GNB,25,6.9
3827,6,CLE,23,19.5
3828,7,CIN,5,9.4
3829,8,DAL,26,16.2
3830,9,CHI,31,11.3
3831,10,PIT,14,3.4
3832,11,TAM,21,10
3833,12,GNB,25,22.2
3834,14,BAL,12,16.1
3835,15,NYG,18,2.4
3836,16,MIN,32,12.5
3837,1,STL,13,6.4
3838,2,DET,15,15.4
3839,4,TAM,21,1.4
3840,5,CAR,2,11
3841,6,SFO,3,4.2
3842,7,SEA,1,8.2
3843,9,HOU,24,3.1
3844,10,JAX,28,8.7
3845,11,IND,9,13.8
3846,12,PHI,17,7.6
3847,13,STL,13,10.1
3848,14,TEN,16,19.8
